Spieler,datum_transfer,Restvertrag.in.Monaten...12,abloese,marktwert_zeitpunkt,factor,year
Olivier Giroud,2018-01-31,"1,33",17000000,20000000,1.1764705882352942,2018
Yunus Malli,2017-01-05,"1,42",12500000,10000000,0.8,2017
Martin Hinteregger,2016-08-31,"1,75",10500000,6000000,0.5714285714285714,2016
Nico Schulz,2019-07-01,"1,92",25500000,25000000,0.9803921568627451,2019
Ricardo Rodríguez,2017-07-01,"1,92",15000000,17000000,1.1333333333333333,2017
Xherdan Shaqiri,2012-07-01,"1,92",11800000,12500000,1.0593220338983051,2012
Xherdan Shaqiri,2018-07-13,"1,92",14700000,18000000,1.2244897959183674,2018
Jeffrey Bruma,2016-07-01,"1,92",11500000,7750000,0.6739130434782609,2016
Jonathan Kodjia,2016-08-30,"1,83",12800000,2500000,0.1953125,2016
Johannes Geis,2015-07-01,"1,92",10500000,11000000,1.0476190476190477,2015
Eduardo Vargas,2012-01-09,"1,92",13500000,6000000,0.4444444444444444,2012
Eliaquim Mangala,2014-08-11,"1,83",45000000,28000000,0.6222222222222222,2014
Juan Cuadrado,2017-07-01,"1,92",20000000,25000000,1.25,2017
Matt Ritchie,2016-07-01,"1,92",12000000,6000000,0.5,2016
Darío Benedetto,2019-08-05,"1,83",14000000,15000000,1.0714285714285714,2019
Marcos Rojo,2014-08-20,"1,83",20000000,12000000,0.6,2014
Alexandre Lacazette,2017-07-05,"1,92",53000000,40000000,0.7547169811320755,2017
Stephan El Shaarawy,2011-07-01,"1,92",20300000,7000000,0.3448275862068966,2011
Martin Braithwaite,2017-07-13,"1,92",11300000,7500000,0.6637168141592921,2017
Romelu Lukaku,2014-07-30,"1,92",35360000,25000000,0.7070135746606335,2014
Romelu Lukaku,2017-07-10,"1,92",84700000,50000000,0.5903187721369539,2017
Fabio Borini,2015-08-31,"1,75",10700000,7000000,0.6542056074766355,2015
Simone Zaza,2019-07-01,"1,92",12000000,10000000,0.8333333333333334,2019
Andrea Bertolacci,2015-07-02,"1,92",21000000,15000000,0.7142857142857143,2015
Jannik Vestergaard,2016-07-01,"1,92",12500000,7000000,0.56,2016
Ander Herrera,2014-07-01,"1,92",36000000,20000000,0.5555555555555556,2014
William Carvalho,2018-07-13,"1,92",16000000,25000000,1.5625,2018
Matej Vydra,2018-08-07,"1,83",12200000,8000000,0.6557377049180327,2018
Jorginho,2018-07-14,"1,92",57000000,50000000,0.8771929824561403,2018
Chris Smalling,2020-10-05,"1,67",15000000,20000000,1.3333333333333333,2020
Konstantinos Manolas,2014-08-26,"1,83",15000000,6000000,0.4,2014
Chris Wood,2017-08-21,"1,83",16400000,6000000,0.36585365853658536,2017
Benik Afobe,2018-07-01,"1,92",11400000,10000000,0.8771929824561403,2018
Benik Afobe,2019-01-04,"1,42",13500000,10000000,0.7407407407407407,2019
Neto,2019-07-01,"1,92",26000000,18000000,0.6923076923076923,2019
Emiliano Martínez,2020-09-16,"1,75",17400000,8000000,0.45977011494252873,2020
Suso,2020-07-21,"1,92",21000000,17500000,0.8333333333333334,2020
Mitchell Weiser,2018-07-01,"1,92",12000000,12000000,1,2018
Luis Muriel,2017-07-11,"1,92",24500000,17000000,0.6938775510204082,2017
Yannick Gerhardt,2016-07-01,"1,92",13000000,4500000,0.34615384615384615,2016
Emre Can,2020-07-01,"1,92",25000000,24000000,0.96,2020
Sam Clucas,2017-08-23,"1,83",16300000,2500000,0.15337423312883436,2017
Matthias Ginter,2017-07-04,"1,92",17000000,15000000,0.8823529411764706,2017
John Anthony Brooks,2017-07-01,"1,92",17000000,14000000,0.8235294117647058,2017
Hakan Calhanoglu,2014-07-04,"1,92",14500000,7000000,0.4827586206896552,2014
Hakan Calhanoglu,2017-07-03,"1,92",23300000,20000000,0.8583690987124464,2017
Lucas Digne,2016-07-13,"1,92",16500000,12000000,0.7272727272727273,2016
Paco Alcácer,2019-07-01,"1,92",21000000,37000000,1.7619047619047619,2019
Serge Aurier,2017-08-31,"1,75",25000000,15000000,0.6,2017
Abdoulaye Doucouré,2016-02-01,"1,33",10600000,6000000,0.5660377358490566,2016
Geoffrey Kondogbia,2018-07-01,"1,92",22000000,30000000,1.3636363636363635,2018
Geoffrey Kondogbia,2020-11-03,"1,58",15000000,17500000,1.1666666666666667,2020
Álvaro Morata,2020-07-01,"1,92",35000000,36000000,1.0285714285714285,2020
Robbie Brady,2017-01-31,"1,33",15100000,8000000,0.5298013245033113,2017
Dennis Praet,2019-08-08,"1,83",19200000,24000000,1.25,2019
Jeison Murillo,2018-07-01,"1,92",12000000,15000000,1.25,2018
Roberto Firmino,2015-07-01,"1,92",41000000,25000000,0.6097560975609756,2015
Bertrand Traoré,2020-09-19,"1,75",18400000,9500000,0.5163043478260869,2020
Raheem Sterling,2015-07-14,"1,92",63700000,40000000,0.6279434850863422,2015
